EndNodes_1,EndNodes_2,Weight,index,ncoord,L,diam,kN,isshunt,belongroot,cycles,subnetwork
71,73,1,119,20,0.0239907047849146,0.0056263792514801,0.000341736725022962,0,none,0,none
73,74,1,120,1,0.00282842712474619,0.00592820310592651,0.00357244830544408,0,none,0,none
74,75,1,121,6,0.0084142135623731,0.00592820310592651,0.00120087392766649,0,none,0,none
75,76,1,122,2,0.00565685424949239,0.00465685415267944,0.000680164882745234,0,none,0,none
75,77,1,123,3,0.00565685424949239,0.00389897966384888,0.000334231624064842,0,none,0,none
76,78,1,124,17,0.0221421356237309,0.001,3.69486982093776e-07,0,none,0,none
77,80,1,125,16,0.0198929222269922,0.00182842707633972,4.59653571931577e-06,0,none,0,none
78,79,1,126,5,0.0160102091686372,0.001,5.11000873414561e-07,0,none,0,none
79,82,1,127,9,0.0116568542494924,0.001,7.0183865163105e-07,0,none,0,none
80,81,1,128,2,0.0034142135623731,0.00182842707633972,2.67817246658655e-05,0,none,0,none
81,83,1,129,1,0.00282842712474619,0.00182842707633972,3.23284014560372e-05,0,none,0,none
81,84,1,130,7,0.0108994949366117,0.001,7.50606419499537e-07,0,none,0,none
84,85,1,131,21,0.0244852813742386,0.001,3.34128521689404e-07,0,none,0,none
85,86,1,132,6,0.00947870866461908,0.001,8.63116607778154e-07,0,none,0,none
